name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
가교카복시메틸셀룰로스나트륨,Cross-Linked Sodium Carboxymethyl Cellulose,,,,,,True,식품첨가물공전
가티검,Gum Ghatti,,,,,,True,식품첨가물공전
감색소,Persimmon Color,,,,,,True,식품첨가물공전
감초추출물,Licorice Extract,,,,,,True,식품첨가물공전
개미산,Formic Acid,,,,,,True,식품첨가물공전
개미산게라닐,Geranyl Formate,,,,,,True,식품첨가물공전
개미산시트로넬릴,Citronellyl Formate,,,,,,True,식품첨가물공전
개미산이소아밀,Isoamyl Formate,,,,,,True,식품첨가물공전
검레진,Masticatory Substances,,,,,,True,식품첨가물공전
게라니올,Geraniol,,,,,,True,식품첨가물공전
결정셀룰로스,"Cellulose, Microcrystalline",,,,,,True,식품첨가물공전
계피산,Cinnamic Acid,,,,,,True,식품첨가물공전
계피산메틸,Methyl Cinnamate,,,,,,True,식품첨가물공전
계피산에틸,Ethyl Cinnamate,,,,,,True,식품첨가물공전
계피알데히드,Cinnamaldehyde,,,,,,True,식품첨가물공전
계피알콜,Cinnamyl Alcohol,,,,,,True,식품첨가물공전
고량색소,Kaoliang Color,,,,,,True,식품첨가물공전
과산화벤조일(희석),Diluted Benzoyl Peroxide,,,,,,True,식품첨가물공전
과황산암모늄,Ammonium Persulfate,,,,,,True,식품첨가물공전
구아검,Guar Gum,,,,,,True,식품첨가물공전
5'-구아닐산,5'-Guanylic acid,,,,,,True,식품첨가물공전
5'-구아닐산이나트륨,Disodium 5'-Guanylate,,,,,,True,식품첨가물공전
5'-구아닐산칼륨,Dipotassium 5'-Guanylate,,,,,,True,식품첨가물공전
5'-구아닐산칼슘,Calcium 5'-Guanylate,,,,,,True,식품첨가물공전
구연산,Citric Acid,,,,,,True,식품첨가물공전
구연산삼나트륨,Trisodium Citrate,,,,,,True,식품첨가물공전
구연산이수소칼륨,Potassium Dihydrogen Citrate,,,,,,True,식품첨가물공전
구연산일나트륨,Monosodium Citrate,,,,,,True,식품첨가물공전
구연산칼륨,Potassium Citrate,,,,,,True,식품첨가물공전
구연산칼슘,Calcium Citrate,,,,,,True,식품첨가물공전
규산마그네슘,Magnesium Silicate,,,,,,True,식품첨가물공전
No.	품목명,Cross-Linked Sodium Carboxymethyl Cellulose,,,,,,True,식품첨가물공전
1	가교카복시메틸셀룰로스나트륨,Cross-Linked Sodium Carboxymethyl Cellulose,,,,,,True,식품첨가물공전
2	가티검,Gum Ghatti,,,,,,True,식품첨가물공전
3	감색소,Persimmon Color,,,,,,True,식품첨가물공전
4	감초추출물,Licorice Extract,,,,,,True,식품첨가물공전
5	개미산,Formic Acid,,,,,,True,식품첨가물공전
6	개미산게라닐,Geranyl Formate,,,,,,True,식품첨가물공전
7	개미산시트로넬릴,Citronellyl Formate,,,,,,True,식품첨가물공전
8	개미산이소아밀,Isoamyl Formate,,,,,,True,식품첨가물공전
9	검레진,Masticatory Substances,,,,,,True,식품첨가물공전
10	게라니올,Geraniol,,,,,,True,식품첨가물공전
11	결정셀룰로스,"Cellulose, Microcrystalline",,,,,,True,식품첨가물공전
12	계피산,Cinnamic Acid,,,,,,True,식품첨가물공전
13	계피산메틸,Methyl Cinnamate,,,,,,True,식품첨가물공전
14	계피산에틸,Ethyl Cinnamate,,,,,,True,식품첨가물공전
15	계피알데히드,Cinnamaldehyde,,,,,,True,식품첨가물공전
16	계피알콜,Cinnamyl Alcohol,,,,,,True,식품첨가물공전
17	고량색소,Kaoliang Color,,,,,,True,식품첨가물공전
18	과산화벤조일(희석),Diluted Benzoyl Peroxide,,,,,,True,식품첨가물공전
19	과황산암모늄,Ammonium Persulfate,,,,,,True,식품첨가물공전
20	구아검,Guar Gum,,,,,,True,식품첨가물공전
21	5'-구아닐산,5'-Guanylic acid,,,,,,True,식품첨가물공전
22	5'-구아닐산이나트륨,Disodium 5'-Guanylate,,,,,,True,식품첨가물공전
23	5'-구아닐산칼륨,Dipotassium 5'-Guanylate,,,,,,True,식품첨가물공전
24	5'-구아닐산칼슘,Calcium 5'-Guanylate,,,,,,True,식품첨가물공전
25	구연산,Citric Acid,,,,,,True,식품첨가물공전
